"participant_id","condition","type","fastq_1","fastq_2"
"DRR016125","mock","wild","{{ bucket }}/data/DRR016125/DRR016125_1.fastq.gz","{{ bucket }}/data/DRR016125/DRR016125_2.fastq.gz"
"DRR016126","ABA","wild","{{ bucket }}/data/DRR016126/DRR016126_1.fastq.gz","{{ bucket }}/data/DRR016126/DRR016126_2.fastq.gz"
"DRR016127","saline","wild","{{ bucket }}/data/DRR016127/DRR016127_1.fastq.gz","{{ bucket }}/data/DRR016127/DRR016127_2.fastq.gz"
"DRR016128","dehydration","wild","{{ bucket }}/data/DRR016128/DRR016128_1.fastq.gz","{{ bucket }}/data/DRR016128/DRR016128_2.fastq.gz"
"DRR016129","mock","ros1-3","{{ bucket }}/data/DRR016129/DRR016129_1.fastq.gz","{{ bucket }}/data/DRR016129/DRR016129_2.fastq.gz"
"DRR016130","ABA","ros1-3","{{ bucket }}/data/DRR016130/DRR016130_1.fastq.gz","{{ bucket }}/data/DRR016130/DRR016130_2.fastq.gz"
"DRR016131","saline","ros1-3","{{ bucket }}/data/DRR016131/DRR016131_1.fastq.gz","{{ bucket }}/data/DRR016131/DRR016131_2.fastq.gz"
"DRR016132","dehydration","ros1-3","{{ bucket }}/data/DRR016132/DRR016132_1.fastq.gz","{{ bucket }}/data/DRR016132/DRR016132_2.fastq.gz"
"DRR016133","mock","dml2;3","{{ bucket }}/data/DRR016133/DRR016133_1.fastq.gz","{{ bucket }}/data/DRR016133/DRR016133_2.fastq.gz"
"DRR016134","ABA","dml2;3","{{ bucket }}/data/DRR016134/DRR016134_1.fastq.gz","{{ bucket }}/data/DRR016134/DRR016134_2.fastq.gz"
"DRR016135","saline","dml2;3","{{ bucket }}/data/DRR016135/DRR016135_1.fastq.gz","{{ bucket }}/data/DRR016135/DRR016135_2.fastq.gz"
"DRR016136","dehydration","dml2;3","{{ bucket }}/data/DRR016136/DRR016136_1.fastq.gz","{{ bucket }}/data/DRR016136/DRR016136_2.fastq.gz"
"DRR016137","mock","ros1dml2;3","{{ bucket }}/data/DRR016137/DRR016137_1.fastq.gz","{{ bucket }}/data/DRR016137/DRR016137_2.fastq.gz"
"DRR016138","ABA","ros1dml2;3","{{ bucket }}/data/DRR016138/DRR016138_1.fastq.gz","{{ bucket }}/data/DRR016138/DRR016138_2.fastq.gz"
"DRR016139","saline","ros1dml2;3","{{ bucket }}/data/DRR016139/DRR016139_1.fastq.gz","{{ bucket }}/data/DRR016139/DRR016139_2.fastq.gz"
"DRR016140","dehydration","ros1dml2;3","{{ bucket }}/data/DRR016140/DRR016140_1.fastq.gz","{{ bucket }}/data/DRR016140/DRR016140_2.fastq.gz"
